T:127|TOM subgroup #127 order 8|P2|1,2,1,3,4,4,4,4,5,6,7,6,8,8,8,8,1,6,9,10,10,10,10,3,6,8,8,8,8,1,10,10,10,10,2,11,12,11,4,11,12,4,11,4,4
T:130|TOM subgroup #130 order 8|P2|1,2,2,3,3,4,4,5,6,2,2,3,3,4,4,5,6,7,4,4,8,8,9,10,4,4,8,8,9,10,1,2,2,5,6,2,2,5,6,7,9,10,9,10,11
T:131|TOM subgroup #131 order 8|P2|1,2,3,3,4,5,6,6,7,2,3,3,5,4,6,6,7,8,8,2,2,8,8,9,10,6,6,11,11,12,6,6,11,11,12,1,3,3,7,3,3,7,10,12,12
T:132|TOM subgroup #132 order 8|P2|1,2,1,2,3,4,3,4,5,6,7,6,8,9,8,9,2,6,7,9,8,9,8,1,6,8,9,8,9,2,9,8,9,8,1,10,11,10,4,10,11,3,10,4,3
T:133|TOM subgroup #133 order 8|P2|1,2,1,2,3,4,3,4,5,2,5,2,4,3,4,3,1,2,6,7,7,7,7,2,2,4,3,4,3,1,7,7,7,7,2,8,9,8,3,8,9,4,8,3,4
T:134|TOM subgroup #134 order 8|P2|1,2,3,2,4,5,6,5,7,6,8,4,9,10,9,10,3,4,7,1,5,3,5,2,6,9,10,9,10,1,3,5,1,5,2,10,8,10,6,10,11,5,10,4,5
T:135|TOM subgroup #135 order 8|P2|1,2,2,3,4,5,5,6,7,2,2,4,3,5,5,6,7,8,5,5,9,9,10,11,5,5,9,9,10,11,1,2,2,7,6,2,2,7,6,8,11,10,11,10,12
T:136|TOM subgroup #136 order 8|P2|1,1,2,2,3,3,3,3,4,5,6,7,8,9,8,9,2,7,6,9,8,9,8,2,5,8,9,8,9,1,9,8,9,8,1,10,11,10,3,10,11,3,10,3,3
T:140|TOM subgroup #140 order 8|P2|1,1,1,1,1,1,1,1,2,3,4,5,6,6,7,7,8,5,4,6,6,7,7,8,3,7,7,6,6,8,7,7,6,6,8,3,4,5,8,5,4,8,3,8,8
T:141|TOM subgroup #141 order 8|P2|1,2,3,4,5,1,6,3,7,4,7,2,1,5,3,6,3,4,8,2,4,2,4,2,2,3,6,1,5,1,4,2,4,2,4,1,7,3,6,3,7,3,1,5,1
T:142|TOM subgroup #142 order 8|P2|1,1,1,1,2,2,2,2,3,4,5,4,6,7,8,7,2,4,5,7,6,7,8,2,4,8,7,6,7,2,7,8,7,6,2,4,5,4,1,4,5,1,4,1,1
T:143|TOM subgroup #143 order 8|P2|1,2,3,4,3,2,5,6,5,1,6,1,6,1,6,7,6,5,2,3,4,3,6,5,5,2,3,4,1,2,5,2,3,6,3,5,2,1,4,5,6,3,1,2,1
T:144|TOM subgroup #144 order 8|P2|1,2,3,4,5,4,3,2,6,1,1,1,1,1,1,1,7,2,3,4,5,4,3,6,2,3,4,5,4,6,2,3,4,5,6,2,3,4,6,2,3,6,2,6,6
T:146|TOM subgroup #146 order 9|P3|1,2,3,4,4,3,2,1,5,4,2,3,2,4,3,1,5,1,1,3,4,2,3,5,1,2,3,4,4,5,4,2,3,2,5,1,1,3,5,1,2,5,4,5,5
T:147|TOM subgroup #147 order 9|P3|1,2,2,2,3,3,3,1,4,2,2,2,3,3,3,1,4,5,5,6,6,6,2,7,5,6,6,6,2,7,6,6,6,2,7,8,8,3,9,8,3,9,3,9,4
T:148|TOM subgroup #148 order 9|P3|1,2,2,2,3,4,5,1,6,2,2,2,4,5,3,1,6,7,7,8,8,8,2,9,7,8,8,8,2,9,8,8,8,2,9,10,10,5,11,10,3,11,4,11,6
T:149|TOM subgroup #149 order 9|P3|1,2,3,4,4,3,2,1,5,1,2,3,4,4,3,2,5,1,2,3,4,4,3,5,1,2,3,4,4,5,1,2,3,4,5,1,2,3,5,1,2,5,1,5,5
T:152|TOM subgroup #152 order 10|0|1,1,2,3,4,4,5,6,7,4,7,6,1,4,2,5,3,5,7,4,1,6,3,2,4,3,6,1,4,1,5,2,4,1,1,1,7,2,6,3,7,5,1,4,4
T:153|TOM subgroup #153 order 10|0|1,2,3,4,1,2,3,4,5,1,3,4,2,2,3,4,5,3,4,2,1,3,4,5,6,3,3,7,8,9,4,4,8,10,11,1,3,4,5,3,4,5,6,9,11
T:154|TOM subgroup #154 order 10|0|1,2,3,4,4,3,2,1,5,5,2,1,4,3,3,4,2,6,2,3,7,7,3,6,5,2,6,7,3,7,1,2,3,4,3,5,2,1,3,6,2,7,5,6,2
T:156|TOM subgroup #156 order 10|0|1,2,2,3,2,4,2,5,2,6,6,7,6,1,6,7,6,8,9,10,2,10,9,8,9,8,2,10,9,10,9,5,9,11,9,2,8,9,10,2,3,2,9,8,9
T:157|TOM subgroup #157 order 10|0|1,2,3,2,1,4,5,5,4,4,5,5,4,1,2,3,2,4,5,5,1,1,2,3,4,5,2,1,1,2,4,3,2,1,1,2,3,2,1,4,5,5,4,5,4
T:159|TOM subgroup #159 order 12|0|1,2,3,4,1,5,1,6,1,2,3,4,1,1,1,6,5,7,8,2,2,2,9,2,10,3,3,3,11,3,4,4,4,12,4,1,5,6,1,1,6,1,6,1,6
T:160|TOM subgroup #160 order 12|0|1,1,2,3,4,4,1,5,4,1,2,3,4,4,1,5,4,2,3,4,4,1,5,4,6,7,7,2,8,7,9,9,3,10,9,11,4,12,11,4,12,11,5,4,12
