n,C(n3),b3_census,delta3,witness
1855,1062130335,171991,0.00016193,"4x317 + 1x587* (m=1, q=293, t=293)"
1856,1063849920,287680,0.00027041,58x32 (m=5)
1857,1065571360,382542,0.00035900,3x619 (m=1)
1858,1067294656,862112,0.00080775,2x929 (m=1)
1859,1069019809,114413,0.00010703,"6x197 + 1x677* (m=1, q=13, t=169)"
1860,1070746820,347140,0.00032420,"1x1021 + 1x839* (m=1, q=419, t=419)"
1862,1074206420,179747,0.00016733,"1x823 + 1x1039* (m=1, q=173, t=173)"
1863,1075939011,351541,0.00032673,"2x512 + 1x839* (m=1, q=419, t=419)"
1864,1077673464,392941,0.00036462,"1x977 + 1x887* (m=1, q=443, t=443)"
1865,1079409780,231260,0.00021425,5x373 (m=1)
1866,1081147960,289230,0.00026752,6x311 (m=1)
1868,1084629916,435244,0.00040128,4x467 (m=1)
1869,1086373694,252506,0.00023243,"2x503 + 1x863* (m=1, q=431, t=431)"
1870,1088119340,392941,0.00036112,"1x887 + 1x983* (m=1, q=491, t=491)"
1872,1091616240,351541,0.00032204,"1x1033 + 1x839* (m=1, q=419, t=419)"
1874,1095120624,584688,0.00053390,2x937 (m=1)
1875,1096875625,390000,0.00035556,3x625 (m=1)
1876,1098632500,371953,0.00033856,"1x1013 + 1x863* (m=1, q=431, t=431)"
1878,1102151876,351541,0.00031896,"1x1039 + 1x839* (m=1, q=419, t=419)"
1880,1105678760,180093,0.00016288,"3x347 + 1x839* (m=1, q=419, t=419)"
1881,1107445020,270920,0.00024464,"2x521 + 1x839* (m=1, q=419, t=419)"
1882,1109213160,884540,0.00079745,2x941 (m=1)
1883,1110983181,252322,0.00022712,7x269 (m=1)
1884,1112755084,347140,0.00031196,"1x1021 + 1x863* (m=1, q=431, t=431)"
1885,1114528870,455168,0.00040839,"4x128 + 1x1373* (m=7, q=7, t=343)"
1886,1116304540,226398,0.00020281,"3x389 + 1x719* (m=1, q=359, t=359)"
1887,1118082095,371953,0.00033267,"2x512 + 1x863* (m=1, q=431, t=431)"
1888,1119861536,351541,0.00031391,"1x1049 + 1x839* (m=1, q=419, t=419)"
1890,1123426080,351541,0.00031292,"1x1051 + 1x839* (m=1, q=419, t=419)"
1891,1125211185,171112,0.00015207,"4x293 + 1x719* (m=1, q=359, t=359)"
1892,1126998180,179747,0.00015949,"1x853 + 1x1039* (m=1, q=173, t=173)"
1893,1128787066,397530,0.00035217,3x631 (m=1)
1894,1130577844,895862,0.00079239,2x947 (m=1)
1895,1132370515,238770,0.00021086,5x379 (m=1)
1896,1134165080,355352,0.00031332,"1x1033 + 1x863* (m=1, q=431, t=431)"
1897,1135961540,186208,0.00016392,"2x529 + 1x839* (m=1, q=419, t=419)"
1898,1137759896,196747,0.00017292,"1x811 + 1x1087* (m=1, q=181, t=181)"
1899,1139560149,150289,0.00013188,"2x401 + 1x1097* (m=1, q=137, t=137)"
1900,1141362300,392941,0.00034427,"1x1013 + 1x887* (m=1, q=443, t=443)"
1902,1144972300,359494,0.00031398,"1x1039 + 1x863* (m=1, q=431, t=431)"
1903,1146780151,163658,0.00014271,11x173 (m=1)
1904,1148589904,180093,0.00015679,"3x347 + 1x863* (m=1, q=431, t=431)"
1905,1150401560,270920,0.00023550,"2x521 + 1x863* (m=1, q=431, t=431)"
1906,1152215120,907256,0.00078740,2x953 (m=1)
1908,1155847956,351541,0.00030414,"1x1069 + 1x839* (m=1, q=419, t=419)"
1909,1157667234,182004,0.00015722,"2x523 + 1x863* (m=1, q=431, t=431)"
1910,1159488420,196747,0.00016968,"1x823 + 1x1087* (m=1, q=181, t=181)"
1911,1161311515,392941,0.00033836,"2x512 + 1x887* (m=1, q=443, t=443)"
1912,1163136520,431056,0.00037060,"1x929 + 1x983* (m=1, q=491, t=491)"
1914,1166792264,367850,0.00031527,"1x1051 + 1x863* (m=1, q=431, t=431)"
1915,1168623005,365765,0.00031299,5x383 (m=1)
1916,1170455660,457924,0.00039124,4x479 (m=1)
1917,1172290230,258121,0.00022019,"2x599 + 1x719* (m=1, q=359, t=359)"
1918,1174126716,392941,0.00033467,"1x1031 + 1x887* (m=1, q=443, t=443)"
1919,1175965119,122513,0.00010418,"2x353 + 1x1213* (m=1, q=101, t=101)"
1920,1177805440,1706880,0.00144920,15x128 (m=7)
1921,1179647680,240400,0.00020379,"2x601 + 1x719* (m=1, q=359, t=359)"
1922,1181491840,615040,0.00052056,2x961 (m=1)
1923,1183337921,615360,0.00052002,3x641 (m=1)
1924,1185185924,442270,0.00037317,"1x941 + 1x983* (m=1, q=491, t=491)"
1925,1187035850,179747,0.00015143,"2x443 + 1x1039* (m=1, q=173, t=173)"
1926,1188887700,371953,0.00031286,"1x1063 + 1x863* (m=1, q=431, t=431)"
1927,1190741475,149189,0.00012529,"2x577 + 1x773* (m=1, q=193, t=193)"
1928,1192597176,196747,0.00016497,"1x841 + 1x1087* (m=1, q=181, t=181)"
1929,1194454804,412806,0.00034560,3x643 (m=1)
1930,1196314360,447931,0.00037443,"1x947 + 1x983* (m=1, q=491, t=491)"
1932,1200039260,371953,0.00030995,"1x1069 + 1x863* (m=1, q=431, t=431)"
1934,1203771884,622748,0.00051733,2x967 (m=1)
1935,1205641095,158603,0.00013155,"2x569 + 1x797* (m=1, q=199, t=199)"
1936,1207512240,453628,0.00037567,"1x953 + 1x983* (m=1, q=491, t=491)"
1937,1209385320,179747,0.00014863,"2x449 + 1x1039* (m=1, q=173, t=173)"
1938,1211260336,367850,0.00030369,"1x1051 + 1x887* (m=1, q=443, t=443)"
1939,1213137289,178388,0.00014705,7x277 (m=1)
1940,1215016180,196747,0.00016193,"1x853 + 1x1087* (m=1, q=181, t=181)"
1941,1216897010,626943,0.00051520,3x647 (m=1)
1942,1218779780,941870,0.00077280,2x971 (m=1)
1943,1220664491,124256,0.00010179,"2x353 + 1x1237* (m=1, q=103, t=103)"
1944,1222551144,307520,0.00025154,"1x961 + 1x983* (m=1, q=491, t=491)"
1945,1224439740,377330,0.00030817,5x389 (m=1)
1946,1226330280,196747,0.00016044,"1x859 + 1x1087* (m=1, q=181, t=181)"
1947,1228222765,175142,0.00014260,"2x419 + 1x1109* (m=1, q=277, t=277)"
1948,1230117196,431056,0.00035042,"1x929 + 1x1019* (m=1, q=509, t=509)"
1950,1233911900,376302,0.00030497,"1x1063 + 1x887* (m=1, q=443, t=443)"
1952,1237714400,302560,0.00024445,61x32 (m=5)
1953,1239618576,309692,0.00024983,"2x557 + 1x839* (m=1, q=419, t=419)"
1954,1241524704,953552,0.00076805,2x977 (m=1)
1955,1243432785,127411,0.00010247,"2x359 + 1x1237* (m=1, q=103, t=103)"
1956,1245342820,380564,0.00030559,"1x1069 + 1x887* (m=1, q=443, t=443)"
1957,1247254810,255028,0.00020447,"2x619 + 1x719* (m=1, q=359, t=359)"
1958,1249168756,179747,0.00014389,"1x919 + 1x1039* (m=1, q=173, t=173)"
1959,1251084659,638634,0.00051046,3x653 (m=1)
1960,1253002520,476776,0.00038051,"1x977 + 1x983* (m=1, q=491, t=491)"
1961,1254922340,179747,0.00014323,"2x461 + 1x1039* (m=1, q=173, t=173)"
1962,1256844120,351541,0.00027970,"1x1123 + 1x839* (m=1, q=419, t=419)"
1963,1258767861,192820,0.00015318,"4x311 + 1x719* (m=1, q=359, t=359)"
1964,1260693564,481180,0.00038168,4x491 (m=1)
1965,1262621230,316406,0.00025059,"2x563 + 1x839* (m=1, q=419, t=419)"
1966,1264550860,965306,0.00076336,2x983 (m=1)
1967,1266482455,275380,0.00021744,7x281 (m=1)
1968,1268416016,351541,0.00027715,"1x1129 + 1x839* (m=1, q=419, t=419)"
